parent_hashtag,hashtag_count,media_id_hashed,image_url,image,image_found,Instagram_auto_desc,post_date,description,desc_hashtags,is_commercial?,is_paid_partnership?,likes,comments,media_type
climate,1629048,7772b5a18928f7e7,https://drive.google.com/uc?export=view&id=113SW-cIrVmWWhm2zcJ6g9YUhM0jiA8bw,,TRUE,"tree, grass and text that says '""Human nature is an ideological construct that makes the current organization of society our 'systems') seem natural, and prevents us from doing the hard work of redistributing power and building new systems."" Dr. Genevieve Guenther MONARCH GARDENS MONARCHGARD.COM'.",2022-03-11,Watch out for thinking that defends human privilege and supremacy over the landscape and other species. It will often sound something like this:,"{'instagood', 'climate', 'climatechange', 'animalrights', 'gardening', 'nativeplants', 'wildlife', 'extinction', 'plants', 'landscapes', 'nature', 'ınstagood', 'justice', 'urbannature', 'gardens', 'equality', 'newgardenethic', 'environment', 'igdaily', 'naturelovers', 'gardendesign', 'humannature', 'freedom'}",not_commercial,No,183,6,Image
climate,1629048,1a94c8206a968632,https://drive.google.com/uc?export=view&id=1klsJyLJx7jrEHvWRKxIHCtxCmSKZFjnl,,TRUE,"nature, body of water and tree.",2022-03-04,,"{'aussiesofinstagram', 'climate', 'climatechange', 'ig_australia', 'storm', 'aussieimages', 'seeaustralia', 'visualart', 'flood', 'colours', 'downunder', 'crisis', 'floodfriday', 'flooding', 'rain', 'reflection', 'australia', 'rainfall', 'aussie', 'australia__downunder_mal_c_', 'australia__downunder', 'landscapephotography', 'landscape', 'tv_australia'}",not_commercial,No,134,8,Image
climate,1629048,e183a284cf3154af,https://drive.google.com/uc?export=view&id=1HAJY2Nt-8212I0RkWZsl2iLE9mw8nBcY,,TRUE,bridge.,2022-03-12,"""Garden design is always natural because humans are natural. As animals we manipulate our environment to suit our needs. Therefore, what we do and how we do it is, inherently, a part of nature.""","{'amistadwheels', 'climate', 'suv', 'mazdacx5', 'japancar', 'tein', 'bespoke', 'damd', 'withmazda', 'mazda', '21inchwheels', 'mazdalife', 'cargram', 'toyotires', 'zoomzoom', 'cx5kf', 'cx5', 'mazdaclub', 'beadriver'}",not_commercial,No,127,0,Image
climate,1629048,56b6e52dde206428,https://drive.google.com/uc?export=view&id=1MLz-pLaHXKeoDL15SPYJw9Vl6mklPVQH,,TRUE,skyscraper.,2022-03-09,,"{'city', 'climate', 'usa', 'earth', 'europe', 'thinkaboutmaps', 'country', 'map', 'geo', 'cities', 'maps', 'geography', 'weather', 'mapping'}",not_commercial,No,6332,199,Image
climate,1629048,6ebce5b9149be96a,https://drive.google.com/uc?export=view&id=1Xzxun6i1TTn5HtOMXCI0bVeL5HBQcIk_,,TRUE,map and text that says 'Land elevation (m) Ocean depth m) 1000 2000 7000 600'.,2022-03-09,"This thinking takes a lot of mental leaps to preserve a worldview that maintains a positive self image while distancing ourselves from the effects of our actions. In other words, we not only don't take responsibility for the health of land, but we misconstrue ""gardening"" as a privileged art form for connection to and healing of nature.","{'city', 'climate', 'earth', 'country', 'map', 'thinkaboutmapsshop', 'perth', 'geography', 'weather', 'oceania', 'sydney', 'australia', 'thinkaboutmaps', 'cities', 'geo', 'melbourne', 'maps', 'murrayriver', 'brisbane', 'mapping'}",not_commercial,No,1499,23,Image
climate,1629048,cf195e9667814dc5,https://drive.google.com/uc?export=view&id=1sR2Ztj-8--GjCkimhDKDTiXzxwD6X8A7,,TRUE,car and outdoors.,2022-03-09,,"{'sword5', 'amistadwheels', 'climate', 'suv', 'mazdacx5', 'japancar', 'tein', 'bespoke', 'damd', 'withmazda', 'mazda', '21inchwheels', 'mazdalife', 'cargram', 'toyotires', 'zoomzoom', 'cx5kf', 'cx5', 'mazdaclub', 'beadriver'}",not_commercial,No,293,3,Image
climate,1629048,418ea4c3ba9a2d7b,https://drive.google.com/uc?export=view&id=13et2eC02NHqmuMkipqB4SbRqM9yxZX6b,,TRUE,car and outdoors.,2022-03-11,In a time of mass extinction we've forced ourselves into being gardeners on a scale we can't comprehend or carry out effectively. We've put ourselves so firmly at the top of a hierarchy we can't see the prairie for the bluestem. ,"{'sword5', 'amistadwheels', 'climate', 'suv', 'mazdacx5', 'japancar', 'tein', 'bespoke', 'damd', 'withmazda', 'mazda', '21inchwheels', 'mazdalife', 'cargram', 'toyotires', 'zoomzoom', 'cx5kf', 'cx5', 'mazdaclub', 'beadriver'}",not_commercial,No,115,0,Image
climate,1629048,44ffb50d9774d97c,https://drive.google.com/uc?export=view&id=16_syjwjT1xLqaYNd28wXDMca5f_7qtU0,,TRUE,"Photo by Ruben L. Oppenheimer on March 10, 2022. May be an illustration.",2022-03-10,,"{'oilprice', 'Ukraine', 'climate', 'Saudi', 'Putin', 'Russia', 'Biden', 'oil'}",not_commercial,No,151,4,Image
climate,1629048,62ec6a18d030aefa,https://drive.google.com/uc?export=view&id=1FzxBTOMGPU9UP5C3VWuxHoGOxOyjb97-,,TRUE,"sky, body of water and text that says '""Temporarily exceeding global warming of 1.5¬∞‚ÑÉ will result in severe impacts for nature, [...] some irreversible"" RescuePlanetLife Save our Planet *New IPCC report'.",2022-03-12,"In a world dominated by ""human nature"" at the expense of other species, be like Aldo Leopold: ""Nonconformity is the highest evolutionary attainment of social animals.”","{'rescueplanetlife', 'ClimateCrisis'}",not_commercial,No,143,4,Image
climatechange,6497457,d9322c9f22a28e4b,https://drive.google.com/uc?export=view&id=1PgInMiwWvr4erGRfRRuxS7wlMM2KQo01,,TRUE,"Photo by Fabio Forcinelli on March 10, 2022.",2022-03-10,,"{'climatechange', 'schoolstrike4climate', 'zeroplastic', 'thereisnoplanetb', 'climatestrike', 'cambiamentoclimatico', 'savetheocean', 'nomoreplastic', 'dittorepost', 'climateaction', 'manvsplastic', 'savetheearth', 'saveourseas', 'savethebees', 'reducewaste', 'gretathunberg', 'savetheplanet', 'plasticpollution', 'planetorplastic', 'savetheoceans', 'climatechangeisreal', 'trashtag', 'endplasticpollution', 'gogreen', 'plasticattack', 'noplastic', 'globalwarming', 'noplanetb'}",not_commercial,No,430,7,Image
climatechange,6497457,4f628e702dcca014,https://drive.google.com/uc?export=view&id=1TKB3BxnSnfM7eM-xHlV-IKD53U9f4LoG,,TRUE,text that says 'NON-STICK PAN MATERIALS BEST Cast iron Carbon steel Stainless steel BETTER Ceramic coated NOT RECOMMENDED ¬∑PFOA free Teflon (PT) Nonstick coating BECAUSE/HEALTH'.,2022-03-10,#environment #gardening #nature #extinction #climate #gardendesign #landscapes #equality #justice #wildlife #humannature #urbannature #freedom #climatechange #naturelovers #gardens #plants #nativeplants #animalrights #newgardenethic #igdaily #ınstagood equality #justice #wildlife #humannature #urbannature #freedom #climatechange #naturelovers #gardens #plants #nativeplants #animalrights #newgardenethic #igdaily #instagood,set(),not_commercial,No,3345,48,Image
2658575336407781473,6497457,c5db1ea7699278c4,https://drive.google.com/uc?export=view&id=1fzjfvR8zUlgDHEz_ynP8xPUUmFDtxLw0,,TRUE,"food and text that says 'Reduce your foodprint. Each time you choose to eat plant foods instead of animals, you save water, soil and animal habitat, you protect the world from climate change, and you save an animal's life. What is your food's footprint? VeganStreet.com com veganstreet patreon.'.",2022-03-11,.,"{'climatechange', 'veganism', 'sustainability', 'govegan', 'endanimalagriculture', 'veganactivism', 'environmentalism', 'AACC', 'sustainablefuture', 'saveourplanet', 'lessmeatmoreveg', 'animalagriculture', 'climateaction', 'animalagricultureclimatechange', 'factoryfarming', 'saveearth', 'fridaysforfuture', 'veganforanimals', 'veganfortheplanet', 'savetheplanet', 'savetheamazon', 'sustainable', 'environment', 'foodforthought', 'plantbased', 'climatecrisis', 'veganactivist'}",not_commercial,No,479,3,Image
climatechange,6497457,f5886b43b491b174,https://drive.google.com/uc?export=view&id=1gSBD88FWOtYLitBhcBD7ALVzG5jxNE9w,,TRUE,"horse, outdoors and text.",2022-03-11,🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷.🔷,"{'WildHorses', 'LoveWildHorses', 'PreventWildfires', 'KeepWildHorsesFree', 'PresidentBiden', 'lovewildhorsesnotfracking', 'WildHorseProtectionAct', 'ClimateChange', 'SecretaryHaaland'}",not_commercial,No,119,10,Image
climatechange,6497457,96b75aa8e6380035,https://drive.google.com/uc?export=view&id=1cB_Q2sJFqpcdRTgyq1J3T90bkat4Rhjn,,TRUE,sky and text that says 'Who benefits from environmentally harmful subsidies? $620‡∏ø Fossil Fuel Industry $520‡∏ø Agricultural Industry'.,2022-03-12,FRIDAY FEATURE,set(),not_commercial,No,493,3,Image
climatechange,6497457,d46d28fb5dd61a86,,,FALSE,bicycle and text that says 'This Machine. Fights Oil Wars'.,2022-03-11,🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷. 🔷.🔷,"{'climatechange', 'sustainabletransit', 'oilwars', 'bikesnotoil', 'rideyourbike', 'bikeadvocacy', 'environmentaljustice', 'mobilityjustice'}",not_commercial,No,2291,17,Carousel
climatechange,6497457,d46d28fb5dd61a86,,,FALSE,"text that says 'Adrian Pietrzak @zoningwonk Mar 8 The small price ""freedom:"" climate change, asthma, crashes, lung cancer, increased dementia risk, billions $$$ highway expansion& upkeep, lost time in traffic, deforestation from sprawl, wars over oil, demolished communities, politics totally dependent on gas prices... Brent Toderian @BrentToderian Mar It's still amazing me that we ourselves be tricked into buying that THIS is what ""freedom"" looks like. #cardependency'.",2022-03-11,.,"{'climatechange', 'sustainabletransit', 'oilwars', 'bikesnotoil', 'rideyourbike', 'bikeadvocacy', 'environmentaljustice', 'mobilityjustice'}",not_commercial,No,2291,17,Carousel
climatechange,6497457,d46d28fb5dd61a86,,,FALSE,"text that says 'When you ride ALONE you ride with Putin! Carpool, auoid unnecessary car trips, use transit, walk, or ride a bike TODAY!'.",2022-03-11,🏆 Congratulations: Mal ,"{'climatechange', 'sustainabletransit', 'oilwars', 'bikesnotoil', 'rideyourbike', 'bikeadvocacy', 'environmentaljustice', 'mobilityjustice'}",not_commercial,No,2291,17,Carousel
climatechange,6497457,d46d28fb5dd61a86,,,FALSE,"text that says 'i:lai driskel @e_d_driscoll Oil crisis? Reduce speed limits; reduce public transport fares; eliminate tax on bicycles, electric bicycles, electric scooter; make cycling, walking, scootering easier and safer everywhere'.",2022-03-11,@xxx ,"{'climatechange', 'sustainabletransit', 'oilwars', 'bikesnotoil', 'rideyourbike', 'bikeadvocacy', 'environmentaljustice', 'mobilityjustice'}",not_commercial,No,2291,17,Carousel
climatechange,6497457,d46d28fb5dd61a86,,,FALSE,text that says 'Jamie Sayers @J16Sayers Mar 7 Just a reminder.. Diesel Super Super Plus 1460 1560 1560 ‡¥ï 0000'.,2022-03-11,.,"{'climatechange', 'sustainabletransit', 'oilwars', 'bikesnotoil', 'rideyourbike', 'bikeadvocacy', 'environmentaljustice', 'mobilityjustice'}",not_commercial,No,2291,17,Carousel
